"","strain","hit_score.methylmalonyl-CoA-carboxyltransferase13S","hit_id.methylmalonyl-CoA-carboxyltransferase13S","description.methylmalonyl-CoA-carboxyltransferase13S","hit_score.methylmalonyl-CoA-carboxyltransferase5S","hit_id.methylmalonyl-CoA-carboxyltransferase5S","description.methylmalonyl-CoA-carboxyltransferase5S","hit_score.methylmalonyl-CoA-decarboxylaseBeta","hit_id.methylmalonyl-CoA-decarboxylaseBeta","description.methylmalonyl-CoA-decarboxylaseBeta","hit_score.methylmalonyl-CoA-decarboxylaseGamma","hit_id.methylmalonyl-CoA-decarboxylaseGamma","description.methylmalonyl-CoA-decarboxylaseGamma","hit_score.methylmalonyl-CoA-carboxyltransferase12S","hit_id.methylmalonyl-CoA-carboxyltransferase12S","description.methylmalonyl-CoA-carboxyltransferase12S","hit_score.methylmalonyl-CoA-decarboxylaseAlpha","hit_id.methylmalonyl-CoA-decarboxylaseAlpha","description.methylmalonyl-CoA-decarboxylaseAlpha","hit_score.methylmalonyl-CoA-mutase","hit_id.methylmalonyl-CoA-mutase","description.methylmalonyl-CoA-mutase","hit_score.methylmalonyl-CoA-epimerase","hit_id.methylmalonyl-CoA-epimerase","description.methylmalonyl-CoA-epimerase","pathway","hit_score.lcdC","hit_id.lcdC","description.lcdC","hit_score.pct","hit_id.pct","description.pct","hit_score.lcdA","hit_id.lcdA","description.lcdA","hit_score.lcdB","hit_id.lcdB","description.lcdB","hit_score.fucO","hit_id.fucO","description.fucO","hit_score.pduW","hit_id.pduW","description.pduW","hit_score.pduL","hit_id.pduL","description.pduL","hit_score.pduP","hit_id.pduP","description.pduP","hit_score.pduC","hit_id.pduC","description.pduC","hit_score.pduD","hit_id.pduD","description.pduD","hit_score.Roseburia-inulivorans-pduCDE","hit_id.Roseburia-inulivorans-pduCDE","description.Roseburia-inulivorans-pduCDE","hit_score.pduE","hit_id.pduE","description.pduE"
"56","Butyricimonas_synergistica",NA,NA,NA,NA,NA,NA,592.3,"NZ_KB903359.1_57/30-420","Butyricimonas_synergistica_methylmalonyl-CoA-decarboxylaseBeta",162.8,"NZ_KB903359.1_56/1-140","Butyricimonas_synergistica_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,907.3,"NZ_KB903359.1_54/1-519","Butyricimonas_synergistica_methylmalonyl-CoA-decarboxylaseAlpha",853.3,"NZ_KB903360.1_318/14-717","Butyricimonas_synergistica_methylmalonyl-CoA-mutase",221.2,"NZ_KB903359.1_53/1-132","Butyricimonas_synergistica_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Cloacibacillus_evryensis",NA,NA,NA,NA,NA,NA,550.7,"NZ_KK073872.1_2309/3-372","Cloacibacillus_evryensis_methylmalonyl-CoA-decarboxylaseBeta",136.2,"NZ_KK073872.1_797/1-129","Cloacibacillus_evryensis_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,862.4,"NZ_KK073872.1_795/8-518","Cloacibacillus_evryensis_methylmalonyl-CoA-decarboxylaseAlpha",837.8,"NZ_KK073872.1_401/18-705","Cloacibacillus_evryensis_methylmalonyl-CoA-mutase",219.1,"NZ_KK073872.1_794/1-133","Cloacibacillus_evryensis_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Cloacibacillus_porcorum",NA,NA,NA,NA,NA,NA,552.1,"NZ_CP016757.1_2405/3-372","Cloacibacillus_porcorum_methylmalonyl-CoA-decarboxylaseBeta",139.3,"NZ_CP016757.1_865/1-133","Cloacibacillus_porcorum_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,862.1,"NZ_CP016757.1_863/8-518","Cloacibacillus_porcorum_methylmalonyl-CoA-decarboxylaseAlpha",835.2,"NZ_CP016757.1_2679/18-726","Cloacibacillus_porcorum_methylmalonyl-CoA-mutase",218,"NZ_CP016757.1_862/1-133","Cloacibacillus_porcorum_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Clostridium_bifermentans",NA,NA,NA,NA,NA,NA,587.1,"NZ_CP079737.1_1103/3-393","Clostridium_bifermentans_methylmalonyl-CoA-decarboxylaseBeta",160.3,"NZ_CP079737.1_1102/1-126","Clostridium_bifermentans_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,918.7,"NZ_CP079737.1_1100/2-515","Clostridium_bifermentans_methylmalonyl-CoA-decarboxylaseAlpha",638.2,"NZ_CP079737.1_1096/9-549","Clostridium_bifermentans_methylmalonyl-CoA-mutase",213.3,"NZ_CP079737.1_1099/1-135","Clostridium_bifermentans_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Clostridium_glycolicum",NA,NA,NA,NA,NA,NA,575.2,"NZ_KE392229.1_115/4-398","Clostridium_glycolicum_methylmalonyl-CoA-decarboxylaseBeta",133.5,"NZ_KE392229.1_116/1-126","Clostridium_glycolicum_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,903.2,"NZ_KE392229.1_118/4-515","Clostridium_glycolicum_methylmalonyl-CoA-decarboxylaseAlpha",632.8,"NZ_KE392229.1_122/7-546","Clostridium_glycolicum_methylmalonyl-CoA-mutase",201.9,"NZ_KE392229.1_119/1-135","Clostridium_glycolicum_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Clostridium_lituseburense",NA,NA,NA,NA,NA,NA,578.5,"NZ_FNGW01000002.1_175/3-375","Clostridium_lituseburense_methylmalonyl-CoA-decarboxylaseBeta",130.4,"NZ_FNGW01000002.1_176/3-120","Clostridium_lituseburense_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,880.6,"NZ_FNGW01000002.1_348/3-515","Clostridium_lituseburense_methylmalonyl-CoA-decarboxylaseAlpha",634.4,"NZ_FNGW01000011.1_12/11-548","Clostridium_lituseburense_methylmalonyl-CoA-mutase",189.4,"NZ_FNGW01000011.1_9/1-135","Clostridium_lituseburense_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Clostridium_sordellii",NA,NA,NA,NA,NA,NA,584.8,"NZ_CP014150.1_1242/3-393","Clostridium_sordellii_methylmalonyl-CoA-decarboxylaseBeta",156.1,"NZ_CP014150.1_1241/1-126","Clostridium_sordellii_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,914.7,"NZ_CP014150.1_1239/2-515","Clostridium_sordellii_methylmalonyl-CoA-decarboxylaseAlpha",638.1,"NZ_CP014150.1_1235/13-549","Clostridium_sordellii_methylmalonyl-CoA-mutase",216.7,"NZ_CP014150.1_1238/1-135","Clostridium_sordellii_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Clostridium_sticklandii",NA,NA,NA,NA,NA,NA,576,"NC_014614.1_931/2-402","Clostridium_sticklandii_methylmalonyl-CoA-decarboxylaseBeta",147.6,"NC_014614.1_930/1-128","Clostridium_sticklandii_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,901.3,"NC_014614.1_928/2-513","Clostridium_sticklandii_methylmalonyl-CoA-decarboxylaseAlpha",628.4,"NC_014614.1_924/11-547","Clostridium_sticklandii_methylmalonyl-CoA-mutase",218.9,"NC_014614.1_927/1-135","Clostridium_sticklandii_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Coprobacter_fastidiosus",NA,NA,NA,NA,NA,NA,614.9,"NZ_RBXN01000006.1_8/9-385","Coprobacter_fastidiosus_methylmalonyl-CoA-decarboxylaseBeta",180.8,"NZ_RBXN01000006.1_9/1-142","Coprobacter_fastidiosus_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,932.6,"NZ_RBXN01000006.1_11/3-517","Coprobacter_fastidiosus_methylmalonyl-CoA-decarboxylaseAlpha",859.1,"NZ_RBXN01000010.1_79/30-710","Coprobacter_fastidiosus_methylmalonyl-CoA-mutase",240.7,"NZ_RBXN01000006.1_12/1-136","Coprobacter_fastidiosus_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Coprobacter_secundus",NA,NA,NA,NA,NA,NA,613.9,"NZ_AP023322.1_1200/7-385","Coprobacter_secundus_methylmalonyl-CoA-decarboxylaseBeta",186.1,"NZ_AP023322.1_1199/1-143","Coprobacter_secundus_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,933.2,"NZ_AP023322.1_1197/3-517","Coprobacter_secundus_methylmalonyl-CoA-decarboxylaseAlpha",862.3,"NZ_AP023322.1_339/22-710","Coprobacter_secundus_methylmalonyl-CoA-mutase",238.5,"NZ_AP023322.1_1196/1-136","Coprobacter_secundus_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Corynebacterium_amycolatum",176.6,"NZ_CP068168.1_716/1-119","Corynebacterium_amycolatum_methylmalonyl-CoA-carboxyltransferase13S",995.1,"NZ_CP068168.1_719/1-478","Corynebacterium_amycolatum_methylmalonyl-CoA-carboxyltransferase5S",NA,NA,NA,NA,NA,NA,872.2,"NZ_CP068168.1_718/21-535","Corynebacterium_amycolatum_methylmalonyl-CoA-carboxyltransferase12S",NA,NA,NA,780.2,"NZ_CP068168.1_510/23-735","Corynebacterium_amycolatum_methylmalonyl-CoA-mutase",162.1,"NZ_CP068168.1_167/15-148","Corynebacterium_amycolatum_methylmalonyl-CoA-epimerase","WWC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Corynebacterium_durum",183.2,"NZ_KB290830.1_124/1-121","Corynebacterium_durum_methylmalonyl-CoA-carboxyltransferase13S",1046.3,"NZ_KB290830.1_121/1-498","Corynebacterium_durum_methylmalonyl-CoA-carboxyltransferase5S",NA,NA,NA,NA,NA,NA,906.2,"NZ_KB290830.1_122/1-517","Corynebacterium_durum_methylmalonyl-CoA-carboxyltransferase12S",NA,NA,NA,770.8,"NZ_KB290831.1_80/25-733","Corynebacterium_durum_methylmalonyl-CoA-mutase",175.4,"NZ_KB290821.1_177/17-150","Corynebacterium_durum_methylmalonyl-CoA-epimerase","WWC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Corynebacterium_glucuronolyticum",172.1,"NZ_CP068162.1_1894/1-119","Corynebacterium_glucuronolyticum_methylmalonyl-CoA-carboxyltransferase13S",1039.6,"NZ_CP068162.1_1897/6-501","Corynebacterium_glucuronolyticum_methylmalonyl-CoA-carboxyltransferase5S",NA,NA,NA,NA,NA,NA,902.6,"NZ_CP068162.1_1896/1-517","Corynebacterium_glucuronolyticum_methylmalonyl-CoA-carboxyltransferase12S",NA,NA,NA,767.6,"NZ_CP068162.1_1350/24-714","Corynebacterium_glucuronolyticum_methylmalonyl-CoA-mutase",178.7,"NZ_CP068162.1_1604/16-151","Corynebacterium_glucuronolyticum_methylmalonyl-CoA-epimerase","WWC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Corynebacterium_kroppenstedtii",176.5,"NC_012704.1_48/1-121","Corynebacterium_kroppenstedtii_methylmalonyl-CoA-carboxyltransferase13S",1037.5,"NC_012704.1_45/1-498","Corynebacterium_kroppenstedtii_methylmalonyl-CoA-carboxyltransferase5S",NA,NA,NA,NA,NA,NA,900.3,"NC_012704.1_46/7-525","Corynebacterium_kroppenstedtii_methylmalonyl-CoA-carboxyltransferase12S",NA,NA,NA,796.8,"NC_012704.1_933/20-744","Corynebacterium_kroppenstedtii_methylmalonyl-CoA-mutase",165.1,"NC_012704.1_1284/15-151","Corynebacterium_kroppenstedtii_methylmalonyl-CoA-epimerase","WWC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Corynebacterium_ulcerans",193.5,"NZ_CP009716.1_620/1-120","Corynebacterium_ulcerans_methylmalonyl-CoA-carboxyltransferase13S",1048.6,"NZ_CP009716.1_617/1-492","Corynebacterium_ulcerans_methylmalonyl-CoA-carboxyltransferase5S",NA,NA,NA,NA,NA,NA,917.6,"NZ_CP009716.1_618/1-517","Corynebacterium_ulcerans_methylmalonyl-CoA-carboxyltransferase12S",NA,NA,NA,786.6,"NZ_CP009716.1_1137/18-733","Corynebacterium_ulcerans_methylmalonyl-CoA-mutase",176.5,"NZ_CP009716.1_910/15-151","Corynebacterium_ulcerans_methylmalonyl-CoA-epimerase","WWC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Cutibacterium_acnes",175.6,"NC_021085.1_1989/1-119","Cutibacterium_acnes_methylmalonyl-CoA-carboxyltransferase13S",1051.3,"NC_021085.1_1992/1-497","Cutibacterium_acnes_methylmalonyl-CoA-carboxyltransferase5S",NA,NA,NA,NA,NA,NA,930.9,"NC_021085.1_1991/11-524","Cutibacterium_acnes_methylmalonyl-CoA-carboxyltransferase12S",NA,NA,NA,802.5,"NC_021085.1_1586/28-722","Cutibacterium_acnes_methylmalonyl-CoA-mutase",174.6,"NC_021085.1_1095/3-151","Cutibacterium_acnes_methylmalonyl-CoA-epimerase","WWC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Dialister_invisus",NA,NA,NA,NA,NA,NA,564.4,"NZ_GG698602.1_1552/3-371","Dialister_invisus_methylmalonyl-CoA-decarboxylaseBeta",140.8,"NZ_GG698602.1_924/1-135","Dialister_invisus_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,856.2,"NZ_GG698602.1_926/4-509","Dialister_invisus_methylmalonyl-CoA-decarboxylaseAlpha",802.2,"NZ_GG698602.1_921/2-720","Dialister_invisus_methylmalonyl-CoA-mutase",131,"NZ_GG698602.1_927/1-141","Dialister_invisus_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Dialister_succinatiphilus",NA,NA,NA,NA,NA,NA,554.2,"NZ_JH591191.1_1/3-371","Dialister_succinatiphilus_methylmalonyl-CoA-decarboxylaseBeta",142.4,"NZ_JH591188.1_341/1-131","Dialister_succinatiphilus_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,858.3,"NZ_JH591188.1_339/4-509","Dialister_succinatiphilus_methylmalonyl-CoA-decarboxylaseAlpha",780.8,"NZ_JH591188.1_344/3-720","Dialister_succinatiphilus_methylmalonyl-CoA-mutase",159,"NZ_JH591188.1_338/2-145","Dialister_succinatiphilus_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Eubacterium_tenue",NA,NA,NA,NA,NA,NA,586.8,"NZ_JADPFO010000001.1_1056/3-393","Eubacterium_tenue_methylmalonyl-CoA-decarboxylaseBeta",152.4,"NZ_JADPFO010000001.1_1057/1-126","Eubacterium_tenue_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,917.4,"NZ_JADPFO010000001.1_1059/2-515","Eubacterium_tenue_methylmalonyl-CoA-decarboxylaseAlpha",643.1,"NZ_JADPFO010000001.1_1063/11-549","Eubacterium_tenue_methylmalonyl-CoA-mutase",216.7,"NZ_JADPFO010000001.1_1060/1-135","Eubacterium_tenue_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Flavonifractor_plautii",NA,NA,NA,NA,NA,NA,371,"NZ_CP048436.1_2691/20-403","Flavonifractor_plautii_methylmalonyl-CoA-decarboxylaseBeta",87.2,"NZ_CP048436.1_2692/2-69","Flavonifractor_plautii_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,784.5,"NZ_CP048436.1_2689/1-507","Flavonifractor_plautii_methylmalonyl-CoA-decarboxylaseAlpha",640.3,"NZ_CP048436.1_2685/4-530","Flavonifractor_plautii_methylmalonyl-CoA-mutase",217.4,"NZ_CP048436.1_2688/1-133","Flavonifractor_plautii_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Intestinimonas_butyriciproducens",NA,NA,NA,NA,NA,NA,570.4,"NZ_MJII01000001.1_2884/3-447","Intestinimonas_butyriciproducens_methylmalonyl-CoA-decarboxylaseBeta",146,"NZ_MJII01000001.1_2885/1-129","Intestinimonas_butyriciproducens_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,896.8,"NZ_MJII01000001.1_2887/3-513","Intestinimonas_butyriciproducens_methylmalonyl-CoA-decarboxylaseAlpha",837.3,"NZ_MJII01000001.1_2882/18-711","Intestinimonas_butyriciproducens_methylmalonyl-CoA-mutase",206.2,"NZ_MJII01000001.1_2888/1-134","Intestinimonas_butyriciproducens_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Megamonas_funiformis",NA,NA,NA,NA,NA,NA,559.1,"NZ_AP024966.1_1557/2-370","Megamonas_funiformis_methylmalonyl-CoA-decarboxylaseBeta",144.5,"NZ_AP024966.1_1580/1-123","Megamonas_funiformis_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,888.3,"NZ_AP024966.1_1582/3-509","Megamonas_funiformis_methylmalonyl-CoA-decarboxylaseAlpha",622.2,"NZ_AP024966.1_1586/6-537","Megamonas_funiformis_methylmalonyl-CoA-mutase",200.7,"NZ_AP024966.1_1583/1-137","Megamonas_funiformis_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Megamonas_hypermegale",NA,NA,NA,NA,NA,NA,559.9,"NZ_LT906446.1_268/1-370","Megamonas_hypermegale_methylmalonyl-CoA-decarboxylaseBeta",147.5,"NZ_LT906446.1_1211/1-124","Megamonas_hypermegale_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,895.3,"NZ_LT906446.1_1213/3-511","Megamonas_hypermegale_methylmalonyl-CoA-decarboxylaseAlpha",623.5,"NZ_LT906446.1_1217/6-537","Megamonas_hypermegale_methylmalonyl-CoA-mutase",200.9,"NZ_LT906446.1_1214/1-137","Megamonas_hypermegale_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Negativicoccus_succinicivorans",NA,NA,NA,NA,NA,NA,548.8,"NZ_JACHHI010000006.1_37/3-371","Negativicoccus_succinicivorans_methylmalonyl-CoA-decarboxylaseBeta",153.2,"NZ_JACHHI010000006.1_38/1-129","Negativicoccus_succinicivorans_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,873,"NZ_JACHHI010000006.1_40/4-509","Negativicoccus_succinicivorans_methylmalonyl-CoA-decarboxylaseAlpha",625,"NZ_JACHHI010000006.1_44/10-534","Negativicoccus_succinicivorans_methylmalonyl-CoA-mutase",193.6,"NZ_JACHHI010000006.1_41/3-137","Negativicoccus_succinicivorans_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Odoribacter_laneus",NA,NA,NA,NA,NA,NA,417.5,"NZ_JH594596.1_2153/24-405","Odoribacter_laneus_methylmalonyl-CoA-decarboxylaseBeta",161.4,"NZ_JH594596.1_1503/1-141","Odoribacter_laneus_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,897.6,"NZ_JH594596.1_1501/2-520","Odoribacter_laneus_methylmalonyl-CoA-decarboxylaseAlpha",858.2,"NZ_JH594597.1_148/13-717","Odoribacter_laneus_methylmalonyl-CoA-mutase",219.1,"NZ_JH594596.1_1500/1-133","Odoribacter_laneus_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Odoribacter_splanchnicus",NA,NA,NA,NA,NA,NA,596.8,"NZ_CP086000.1_3286/30-420","Odoribacter_splanchnicus_methylmalonyl-CoA-decarboxylaseBeta",166.5,"NZ_CP086000.1_3287/1-139","Odoribacter_splanchnicus_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,910.6,"NZ_CP086000.1_3289/3-520","Odoribacter_splanchnicus_methylmalonyl-CoA-decarboxylaseAlpha",857.6,"NZ_CP086000.1_2786/12-715","Odoribacter_splanchnicus_methylmalonyl-CoA-mutase",220.4,"NZ_CP086000.1_3290/1-133","Odoribacter_splanchnicus_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","Parabacteroides-johnsonii-DSM-18315-MAF-2",NA,NA,NA,NA,NA,NA,608.7,"1_1879/16-397","Parabacteroides-johnsonii-DSM-18315-MAF-2_methylmalonyl-CoA-decarboxylaseBeta",192,"1_1878/1-142","Parabacteroides-johnsonii-DSM-18315-MAF-2_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,940.6,"1_1876/3-517","Parabacteroides-johnsonii-DSM-18315-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha",862.3,"1_2412/14-712","Parabacteroides-johnsonii-DSM-18315-MAF-2_methylmalonyl-CoA-mutase",233.9,"1_1875/1-133","Parabacteroides-johnsonii-DSM-18315-MAF-2_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Parabacteroides-merdae-ATCC-43184-MAF-2",NA,NA,NA,NA,NA,NA,611.9,"1_482/17-397","Parabacteroides-merdae-ATCC-43184-MAF-2_methylmalonyl-CoA-decarboxylaseBeta",193,"1_483/1-142","Parabacteroides-merdae-ATCC-43184-MAF-2_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,940.6,"1_485/3-517","Parabacteroides-merdae-ATCC-43184-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha",864.7,"1_63/23-729","Parabacteroides-merdae-ATCC-43184-MAF-2_methylmalonyl-CoA-mutase",235.2,"1_486/1-133","Parabacteroides-merdae-ATCC-43184-MAF-2_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","Parabacteroides-sp-D13-MAF-2",NA,NA,NA,NA,NA,NA,610.1,"1_165/9-385","Parabacteroides-sp-D13-MAF-2_methylmalonyl-CoA-decarboxylaseBeta",190.8,"1_166/1-142","Parabacteroides-sp-D13-MAF-2_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,941.2,"1_168/3-517","Parabacteroides-sp-D13-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha",863.3,"1_2815/14-712","Parabacteroides-sp-D13-MAF-2_methylmalonyl-CoA-mutase",233.8,"1_169/1-135","Parabacteroides-sp-D13-MAF-2_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
